"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C5,C6,C7,C12,C13,C15,C16,C17","0.1u","~","Capacitor_SMD:C_0805_2012Metric","9",""
"C2,C3","4.7u","~","Capacitor_SMD:C_0805_2012Metric","2",""
"C4","0.22u","~","Capacitor_SMD:C_0805_2012Metric","1",""
"C8","10u","~","Capacitor_SMD:C_1206_3216Metric","1",""
"C9,C10","47p","Tantalum","Capacitor_SMD:C_0805_2012Metric","2",""
"C11,C14","1u","~","Capacitor_SMD:C_0805_2012Metric","2",""
"D1","LED","~","LED_SMD:LED_0805_2012Metric","1",""
"D2","RXLED","~","LED_SMD:LED_0805_2012Metric","1",""
"D3","TXLED","~","LED_SMD:LED_0805_2012Metric","1",""
"J1","0534260210","~","Library:CON_534260210_MOL","1",""
"J2","HR10A-7R-6SB(73)","~","Library:HR10A-7R-6SB(73)","1",""
"J3","Conn_01x13","~","Connector_PinHeader_2.54mm:PinHeader_1x13_P2.54mm_Vertical","1",""
"J4","0534260610","~","Library:CON_534260610_MOL","1",""
"J5,J6","Conn_01x03","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","2",""
"J7","65100516121","~","Connector_USB:USB_Mini-B_Wuerth_65100516121_Horizontal","1",""
"R1","1k","~","Resistor_SMD:R_0805_2012Metric","1",""
"R2,R5","4.7k","~","Resistor_SMD:R_0805_2012Metric","2",""
"R3,R4","27","~","Resistor_SMD:R_0805_2012Metric","2",""
"R6","10k","~","Resistor_SMD:R_0805_2012Metric","1",""
"R7","330","~","Resistor_SMD:R_0805_2012Metric","1",""
"R8,R9","270","~","Resistor_SMD:R_0805_2012Metric","2",""
"SW1","SW_Push","~","Button_Switch_SMD:SW_SPST_FSMSM","1",""
"U1","LM340SX-5.0","https://www.analog.com/media/en/technical-documentation/data-sheets/112935ff.pdf","Package_TO_SOT_SMD:TO-263-3_TabPin2","1",""
"U2","FT230XS","https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT230X.pdf","Package_SO:SSOP-16_3.9x4.9mm_P0.635mm","1",""
"U3","MCP4822","http://ww1.microchip.com/downloads/en/DeviceDoc/20002249B.pdf","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U4","AVR64DA32x-xPT","https://ww1.microchip.com/downloads/en/DeviceDoc/AVR64DA28-32-48-64-Data-Sheet-40002233B.pdf","Package_QFP:TQFP-32_7x7mm_P0.8mm","1",""
